"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2017Q3","Single house","Mayo County Council","Number","48"
"New Dwelling Completion","2017Q3","Single house","Offaly County Council","Number","25"
"New Dwelling Completion","2017Q3","Single house","Roscommon County Council","Number","22"
"New Dwelling Completion","2017Q3","Single house","South Dublin County Council","Number","7"
"New Dwelling Completion","2017Q3","Single house","Sligo County Council","Number","23"
"New Dwelling Completion","2017Q3","Single house","Tipperary County Council","Number","36"
"New Dwelling Completion","2017Q3","Single house","Waterford City & County Council","Number","14"
"New Dwelling Completion","2017Q3","Single house","Westmeath County Council","Number","32"
"New Dwelling Completion","2017Q3","Single house","Wicklow County Council","Number","30"
"New Dwelling Completion","2017Q3","Single house","Wexford County Council","Number","52"
"New Dwelling Completion","2017Q3","Single house","Ireland","Number","1117"
"New Dwelling Completion","2017Q3","Scheme house","Cork City Council","Number","73"
"New Dwelling Completion","2017Q3","Scheme house","Clare County Council","Number","39"
"New Dwelling Completion","2017Q3","Scheme house","Cavan County Council","Number","4"
"New Dwelling Completion","2017Q3","Scheme house","Cork County Council","Number","75"
"New Dwelling Completion","2017Q3","Scheme house","Carlow County Council","Number","16"
"New Dwelling Completion","2017Q3","Scheme house","Dublin City Council","Number","224"
"New Dwelling Completion","2017Q3","Scheme house","Dún Laoghaire Rathdown County Council","Number","110"
"New Dwelling Completion","2017Q3","Scheme house","Donegal County Council","Number","27"
"New Dwelling Completion","2017Q3","Scheme house","Fingal County Council","Number","360"
"New Dwelling Completion","2017Q3","Scheme house","Galway County Council","Number","16"
"New Dwelling Completion","2017Q3","Scheme house","Galway City Council","Number","27"
"New Dwelling Completion","2017Q3","Scheme house","Kildare County Council","Number","203"
"New Dwelling Completion","2017Q3","Scheme house","Kilkenny County Council","Number","5"
"New Dwelling Completion","2017Q3","Scheme house","Kerry County Council","Number","30"
"New Dwelling Completion","2017Q3","Scheme house","Longford County Council","Number","8"
"New Dwelling Completion","2017Q3","Scheme house","Louth County Council","Number","81"
"New Dwelling Completion","2017Q3","Scheme house","Limerick City & County Council","Number","46"
"New Dwelling Completion","2017Q3","Scheme house","Leitrim County Council","Number","3"
"New Dwelling Completion","2017Q3","Scheme house","Laois County Council","Number","4"
"New Dwelling Completion","2017Q3","Scheme house","Meath County Council","Number","212"
"New Dwelling Completion","2017Q3","Scheme house","Monaghan County Council","Number","13"
"New Dwelling Completion","2017Q3","Scheme house","Mayo County Council","Number","5"
"New Dwelling Completion","2017Q3","Scheme house","Offaly County Council","Number","10"
"New Dwelling Completion","2017Q3","Scheme house","Roscommon County Council","Number","2"
"New Dwelling Completion","2017Q3","Scheme house","South Dublin County Council","Number","228"
"New Dwelling Completion","2017Q3","Scheme house","Sligo County Council","Number","11"
"New Dwelling Completion","2017Q3","Scheme house","Tipperary County Council","Number","10"
"New Dwelling Completion","2017Q3","Scheme house","Waterford City & County Council","Number","37"
"New Dwelling Completion","2017Q3","Scheme house","Westmeath County Council","Number","7"
"New Dwelling Completion","2017Q3","Scheme house","Wicklow County Council","Number","79"
"New Dwelling Completion","2017Q3","Scheme house","Wexford County Council","Number","34"
"New Dwelling Completion","2017Q3","Scheme house","Ireland","Number","1999"
"New Dwelling Completion","2017Q3","Apartment","Cork City Council","Number","3"
"New Dwelling Completion","2017Q3","Apartment","Clare County Council","Number","2"
"New Dwelling Completion","2017Q3","Apartment","Cavan County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","Cork County Council","Number","20"
"New Dwelling Completion","2017Q3","Apartment","Carlow County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","Dublin City Council","Number","283"
"New Dwelling Completion","2017Q3","Apartment","Dún Laoghaire Rathdown County Council","Number","55"
"New Dwelling Completion","2017Q3","Apartment","Donegal County Council","Number","0"
"New Dwelling Completion","2017Q3","Apartment","Fingal County Council","Number","183"
"New Dwelling Completion","2017Q3","Apartment","Galway County Council","Number","9"
"New Dwelling Completion","2017Q3","Apartment","Galway City Council","Number","11"
"New Dwelling Completion","2017Q3","Apartment","Kildare County Council","Number","11"
"New Dwelling Completion","2017Q3","Apartment","Kilkenny County Council","Number","5"
"New Dwelling Completion","2017Q3","Apartment","Kerry County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","Longford County Council","Number","2"
"New Dwelling Completion","2017Q3","Apartment","Louth County Council","Number","2"
"New Dwelling Completion","2017Q3","Apartment","Limerick City & County Council","Number","5"
"New Dwelling Completion","2017Q3","Apartment","Leitrim County Council","Number","2"
"New Dwelling Completion","2017Q3","Apartment","Laois County Council","Number","0"
"New Dwelling Completion","2017Q3","Apartment","Meath County Council","Number","3"
"New Dwelling Completion","2017Q3","Apartment","Monaghan County Council","Number","4"
"New Dwelling Completion","2017Q3","Apartment","Mayo County Council","Number","6"
"New Dwelling Completion","2017Q3","Apartment","Offaly County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","Roscommon County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","South Dublin County Council","Number","0"
"New Dwelling Completion","2017Q3","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2017Q3","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2017Q3","Apartment","Waterford City & County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","Westmeath County Council","Number","2"
"New Dwelling Completion","2017Q3","Apartment","Wicklow County Council","Number","7"
"New Dwelling Completion","2017Q3","Apartment","Wexford County Council","Number","1"
"New Dwelling Completion","2017Q3","Apartment","Ireland","Number","622"
"New Dwelling Completion","2017Q3","All house types","Cork City Council","Number","90"
"New Dwelling Completion","2017Q3","All house types","Clare County Council","Number","84"
"New Dwelling Completion","2017Q3","All house types","Cavan County Council","Number","27"
"New Dwelling Completion","2017Q3","All house types","Cork County Council","Number","241"
"New Dwelling Completion","2017Q3","All house types","Carlow County Council","Number","30"
"New Dwelling Completion","2017Q3","All house types","Dublin City Council","Number","533"
"New Dwelling Completion","2017Q3","All house types","Dún Laoghaire Rathdown County Council","Number","179"
"New Dwelling Completion","2017Q3","All house types","Donegal County Council","Number","95"
"New Dwelling Completion","2017Q3","All house types","Fingal County Council","Number","568"
"New Dwelling Completion","2017Q3","All house types","Galway County Council","Number","119"
"New Dwelling Completion","2017Q3","All house types","Galway City Council","Number","42"
"New Dwelling Completion","2017Q3","All house types","Kildare County Council","Number","259"
"New Dwelling Completion","2017Q3","All house types","Kilkenny County Council","Number","56"
"New Dwelling Completion","2017Q3","All house types","Kerry County Council","Number","85"
"New Dwelling Completion","2017Q3","All house types","Longford County Council","Number","23"
"New Dwelling Completion","2017Q3","All house types","Louth County Council","Number","114"
"New Dwelling Completion","2017Q3","All house types","Limerick City & County Council","Number","95"
"New Dwelling Completion","2017Q3","All house types","Leitrim County Council","Number","23"
"New Dwelling Completion","2017Q3","All house types","Laois County Council","Number","24"
"New Dwelling Completion","2017Q3","All house types","Meath County Council","Number","280"
"New Dwelling Completion","2017Q3","All house types","Monaghan County Council","Number","40"
"New Dwelling Completion","2017Q3","All house types","Mayo County Council","Number","59"
"New Dwelling Completion","2017Q3","All house types","Offaly County Council","Number","36"
"New Dwelling Completion","2017Q3","All house types","Roscommon County Council","Number","25"
"New Dwelling Completion","2017Q3","All house types","South Dublin County Council","Number","235"
"New Dwelling Completion","2017Q3","All house types","Sligo County Council","Number","34"
"New Dwelling Completion","2017Q3","All house types","Tipperary County Council","Number","46"
"New Dwelling Completion","2017Q3","All house types","Waterford City & County Council","Number","52"
"New Dwelling Completion","2017Q3","All house types","Westmeath County Council","Number","41"
"New Dwelling Completion","2017Q3","All house types","Wicklow County Council","Number","116"
"New Dwelling Completion","2017Q3","All house types","Wexford County Council","Number","87"
"New Dwelling Completion","2017Q3","All house types","Ireland","Number","3738"
"New Dwelling Completion","2017Q4","Single house","Cork City Council","Number","19"
"New Dwelling Completion","2017Q4","Single house","Clare County Council","Number","32"
"New Dwelling Completion","2017Q4","Single house","Cavan County Council","Number","30"
"New Dwelling Completion","2017Q4","Single house","Cork County Council","Number","146"
"New Dwelling Completion","2017Q4","Single house","Carlow County Council","Number","15"
"New Dwelling Completion","2017Q4","Single house","Dublin City Council","Number","22"
"New Dwelling Completion","2017Q4","Single house","Dún Laoghaire Rathdown County Council","Number","25"
"New Dwelling Completion","2017Q4","Single house","Donegal County Council","Number","73"
"New Dwelling Completion","2017Q4","Single house","Fingal County Council","Number","18"
"New Dwelling Completion","2017Q4","Single house","Galway County Council","Number","109"
"New Dwelling Completion","2017Q4","Single house","Galway City Council","Number","8"
"New Dwelling Completion","2017Q4","Single house","Kildare County Council","Number","50"
"New Dwelling Completion","2017Q4","Single house","Kilkenny County Council","Number","41"
"New Dwelling Completion","2017Q4","Single house","Kerry County Council","Number","53"
"New Dwelling Completion","2017Q4","Single house","Longford County Council","Number","12"
"New Dwelling Completion","2017Q4","Single house","Louth County Council","Number","29"
"New Dwelling Completion","2017Q4","Single house","Limerick City & County Council","Number","46"
"New Dwelling Completion","2017Q4","Single house","Leitrim County Council","Number","11"
"New Dwelling Completion","2017Q4","Single house","Laois County Council","Number","34"
"New Dwelling Completion","2017Q4","Single house","Meath County Council","Number","87"
"New Dwelling Completion","2017Q4","Single house","Monaghan County Council","Number","34"
"New Dwelling Completion","2017Q4","Single house","Mayo County Council","Number","49"
"New Dwelling Completion","2017Q4","Single house","Offaly County Council","Number","18"
"New Dwelling Completion","2017Q4","Single house","Roscommon County Council","Number","25"
"New Dwelling Completion","2017Q4","Single house","South Dublin County Council","Number","15"
"New Dwelling Completion","2017Q4","Single house","Sligo County Council","Number","27"
"New Dwelling Completion","2017Q4","Single house","Tipperary County Council","Number","46"
"New Dwelling Completion","2017Q4","Single house","Waterford City & County Council","Number","29"
"New Dwelling Completion","2017Q4","Single house","Westmeath County Council","Number","32"
"New Dwelling Completion","2017Q4","Single house","Wicklow County Council","Number","29"
"New Dwelling Completion","2017Q4","Single house","Wexford County Council","Number","59"
"New Dwelling Completion","2017Q4","Single house","Ireland","Number","1223"
"New Dwelling Completion","2017Q4","Scheme house","Cork City Council","Number","117"
"New Dwelling Completion","2017Q4","Scheme house","Clare County Council","Number","20"
"New Dwelling Completion","2017Q4","Scheme house","Cavan County Council","Number","7"
"New Dwelling Completion","2017Q4","Scheme house","Cork County Council","Number","163"
"New Dwelling Completion","2017Q4","Scheme house","Carlow County Council","Number","11"
"New Dwelling Completion","2017Q4","Scheme house","Dublin City Council","Number","312"
"New Dwelling Completion","2017Q4","Scheme house","Dún Laoghaire Rathdown County Council","Number","164"
"New Dwelling Completion","2017Q4","Scheme house","Donegal County Council","Number","25"
"New Dwelling Completion","2017Q4","Scheme house","Fingal County Council","Number","372"
"New Dwelling Completion","2017Q4","Scheme house","Galway County Council","Number","40"
"New Dwelling Completion","2017Q4","Scheme house","Galway City Council","Number","19"
"New Dwelling Completion","2017Q4","Scheme house","Kildare County Council","Number","266"
"New Dwelling Completion","2017Q4","Scheme house","Kilkenny County Council","Number","11"
"New Dwelling Completion","2017Q4","Scheme house","Kerry County Council","Number","28"
"New Dwelling Completion","2017Q4","Scheme house","Longford County Council","Number","11"
"New Dwelling Completion","2017Q4","Scheme house","Louth County Council","Number","86"
"New Dwelling Completion","2017Q4","Scheme house","Limerick City & County Council","Number","164"
"New Dwelling Completion","2017Q4","Scheme house","Leitrim County Council","Number","6"
"New Dwelling Completion","2017Q4","Scheme house","Laois County Council","Number","5"
"New Dwelling Completion","2017Q4","Scheme house","Meath County Council","Number","316"
"New Dwelling Completion","2017Q4","Scheme house","Monaghan County Council","Number","15"
"New Dwelling Completion","2017Q4","Scheme house","Mayo County Council","Number","16"
"New Dwelling Completion","2017Q4","Scheme house","Offaly County Council","Number","14"
"New Dwelling Completion","2017Q4","Scheme house","Roscommon County Council","Number","16"
"New Dwelling Completion","2017Q4","Scheme house","South Dublin County Council","Number","277"
"New Dwelling Completion","2017Q4","Scheme house","Sligo County Council","Number","21"
"New Dwelling Completion","2017Q4","Scheme house","Tipperary County Council","Number","9"
"New Dwelling Completion","2017Q4","Scheme house","Waterford City & County Council","Number","51"
"New Dwelling Completion","2017Q4","Scheme house","Westmeath County Council","Number","7"
"New Dwelling Completion","2017Q4","Scheme house","Wicklow County Council","Number","94"
"New Dwelling Completion","2017Q4","Scheme house","Wexford County Council","Number","24"
"New Dwelling Completion","2017Q4","Scheme house","Ireland","Number","2687"
"New Dwelling Completion","2017Q4","Apartment","Cork City Council","Number","4"
"New Dwelling Completion","2017Q4","Apartment","Clare County Council","Number","10"
"New Dwelling Completion","2017Q4","Apartment","Cavan County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Cork County Council","Number","5"
"New Dwelling Completion","2017Q4","Apartment","Carlow County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Dublin City Council","Number","157"
"New Dwelling Completion","2017Q4","Apartment","Dún Laoghaire Rathdown County Council","Number","99"
"New Dwelling Completion","2017Q4","Apartment","Donegal County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Fingal County Council","Number","234"
"New Dwelling Completion","2017Q4","Apartment","Galway County Council","Number","5"
"New Dwelling Completion","2017Q4","Apartment","Galway City Council","Number","4"
"New Dwelling Completion","2017Q4","Apartment","Kildare County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Kilkenny County Council","Number","6"
"New Dwelling Completion","2017Q4","Apartment","Kerry County Council","Number","6"
"New Dwelling Completion","2017Q4","Apartment","Longford County Council","Number","2"
"New Dwelling Completion","2017Q4","Apartment","Louth County Council","Number","5"
"New Dwelling Completion","2017Q4","Apartment","Limerick City & County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Leitrim County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Laois County Council","Number","2"
"New Dwelling Completion","2017Q4","Apartment","Meath County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Monaghan County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Mayo County Council","Number","7"
"New Dwelling Completion","2017Q4","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","South Dublin County Council","Number","55"
"New Dwelling Completion","2017Q4","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2017Q4","Apartment","Tipperary County Council","Number","2"
"New Dwelling Completion","2017Q4","Apartment","Waterford City & County Council","Number","15"
"New Dwelling Completion","2017Q4","Apartment","Westmeath County Council","Number","1"
"New Dwelling Completion","2017Q4","Apartment","Wicklow County Council","Number","13"
"New Dwelling Completion","2017Q4","Apartment","Wexford County Council","Number","3"
"New Dwelling Completion","2017Q4","Apartment","Ireland","Number","640"
"New Dwelling Completion","2017Q4","All house types","Cork City Council","Number","140"
"New Dwelling Completion","2017Q4","All house types","Clare County Council","Number","62"
"New Dwelling Completion","2017Q4","All house types","Cavan County Council","Number","38"
"New Dwelling Completion","2017Q4","All house types","Cork County Council","Number","314"
"New Dwelling Completion","2017Q4","All house types","Carlow County Council","Number","27"
"New Dwelling Completion","2017Q4","All house types","Dublin City Council","Number","491"
"New Dwelling Completion","2017Q4","All house types","Dún Laoghaire Rathdown County Council","Number","288"
"New Dwelling Completion","2017Q4","All house types","Donegal County Council","Number","99"
"New Dwelling Completion","2017Q4","All house types","Fingal County Council","Number","624"
"New Dwelling Completion","2017Q4","All house types","Galway County Council","Number","154"
"New Dwelling Completion","2017Q4","All house types","Galway City Council","Number","31"
"New Dwelling Completion","2017Q4","All house types","Kildare County Council","Number","316"
"New Dwelling Completion","2017Q4","All house types","Kilkenny County Council","Number","58"
"New Dwelling Completion","2017Q4","All house types","Kerry County Council","Number","87"
"New Dwelling Completion","2017Q4","All house types","Longford County Council","Number","25"
"New Dwelling Completion","2017Q4","All house types","Louth County Council","Number","120"
"New Dwelling Completion","2017Q4","All house types","Limerick City & County Council","Number","210"
"New Dwelling Completion","2017Q4","All house types","Leitrim County Council","Number","18"
"New Dwelling Completion","2017Q4","All house types","Laois County Council","Number","41"
"New Dwelling Completion","2017Q4","All house types","Meath County Council","Number","404"
"New Dwelling Completion","2017Q4","All house types","Monaghan County Council","Number","49"
"New Dwelling Completion","2017Q4","All house types","Mayo County Council","Number","72"
"New Dwelling Completion","2017Q4","All house types","Offaly County Council","Number","32"
"New Dwelling Completion","2017Q4","All house types","Roscommon County Council","Number","41"
"New Dwelling Completion","2017Q4","All house types","South Dublin County Council","Number","347"
"New Dwelling Completion","2017Q4","All house types","Sligo County Council","Number","48"
"New Dwelling Completion","2017Q4","All house types","Tipperary County Council","Number","57"
"New Dwelling Completion","2017Q4","All house types","Waterford City & County Council","Number","95"
"New Dwelling Completion","2017Q4","All house types","Westmeath County Council","Number","40"
"New Dwelling Completion","2017Q4","All house types","Wicklow County Council","Number","136"
"New Dwelling Completion","2017Q4","All house types","Wexford County Council","Number","86"
"New Dwelling Completion","2017Q4","All house types","Ireland","Number","4550"
"New Dwelling Completion","2018Q1","Single house","Cork City Council","Number","13"
"New Dwelling Completion","2018Q1","Single house","Clare County Council","Number","40"
"New Dwelling Completion","2018Q1","Single house","Cavan County Council","Number","27"
"New Dwelling Completion","2018Q1","Single house","Cork County Council","Number","129"
"New Dwelling Completion","2018Q1","Single house","Carlow County Council","Number","13"
"New Dwelling Completion","2018Q1","Single house","Dublin City Council","Number","16"
"New Dwelling Completion","2018Q1","Single house","Dún Laoghaire Rathdown County Council","Number","13"
"New Dwelling Completion","2018Q1","Single house","Donegal County Council","Number","73"
"New Dwelling Completion","2018Q1","Single house","Fingal County Council","Number","8"
"New Dwelling Completion","2018Q1","Single house","Galway County Council","Number","83"
"New Dwelling Completion","2018Q1","Single house","Galway City Council","Number","4"
"New Dwelling Completion","2018Q1","Single house","Kildare County Council","Number","28"
"New Dwelling Completion","2018Q1","Single house","Kilkenny County Council","Number","28"
"New Dwelling Completion","2018Q1","Single house","Kerry County Council","Number","48"
"New Dwelling Completion","2018Q1","Single house","Longford County Council","Number","14"
"New Dwelling Completion","2018Q1","Single house","Louth County Council","Number","24"
"New Dwelling Completion","2018Q1","Single house","Limerick City & County Council","Number","32"
"New Dwelling Completion","2018Q1","Single house","Leitrim County Council","Number","9"
"New Dwelling Completion","2018Q1","Single house","Laois County Council","Number","24"
"New Dwelling Completion","2018Q1","Single house","Meath County Council","Number","52"
"New Dwelling Completion","2018Q1","Single house","Monaghan County Council","Number","22"
"New Dwelling Completion","2018Q1","Single house","Mayo County Council","Number","47"
"New Dwelling Completion","2018Q1","Single house","Offaly County Council","Number","16"
"New Dwelling Completion","2018Q1","Single house","Roscommon County Council","Number","17"
"New Dwelling Completion","2018Q1","Single house","South Dublin County Council","Number","5"
"New Dwelling Completion","2018Q1","Single house","Sligo County Council","Number","17"
"New Dwelling Completion","2018Q1","Single house","Tipperary County Council","Number","25"
"New Dwelling Completion","2018Q1","Single house","Waterford City & County Council","Number","23"
"New Dwelling Completion","2018Q1","Single house","Westmeath County Council","Number","28"
"New Dwelling Completion","2018Q1","Single house","Wicklow County Council","Number","24"
"New Dwelling Completion","2018Q1","Single house","Wexford County Council","Number","61"
"New Dwelling Completion","2018Q1","Single house","Ireland","Number","963"
"New Dwelling Completion","2018Q1","Scheme house","Cork City Council","Number","100"
"New Dwelling Completion","2018Q1","Scheme house","Clare County Council","Number","16"
"New Dwelling Completion","2018Q1","Scheme house","Cavan County Council","Number","8"
"New Dwelling Completion","2018Q1","Scheme house","Cork County Council","Number","74"
"New Dwelling Completion","2018Q1","Scheme house","Carlow County Council","Number","31"
"New Dwelling Completion","2018Q1","Scheme house","Dublin City Council","Number","147"
"New Dwelling Completion","2018Q1","Scheme house","Dún Laoghaire Rathdown County Council","Number","114"
"New Dwelling Completion","2018Q1","Scheme house","Donegal County Council","Number","13"
"New Dwelling Completion","2018Q1","Scheme house","Fingal County Council","Number","295"
"New Dwelling Completion","2018Q1","Scheme house","Galway County Council","Number","27"
"New Dwelling Completion","2018Q1","Scheme house","Galway City Council","Number","23"
"New Dwelling Completion","2018Q1","Scheme house","Kildare County Council","Number","209"
"New Dwelling Completion","2018Q1","Scheme house","Kilkenny County Council","Number","1"
"New Dwelling Completion","2018Q1","Scheme house","Kerry County Council","Number","34"
"New Dwelling Completion","2018Q1","Scheme house","Longford County Council","Number","0"
"New Dwelling Completion","2018Q1","Scheme house","Louth County Council","Number","96"
"New Dwelling Completion","2018Q1","Scheme house","Limerick City & County Council","Number","89"
"New Dwelling Completion","2018Q1","Scheme house","Leitrim County Council","Number","4"
"New Dwelling Completion","2018Q1","Scheme house","Laois County Council","Number","9"
"New Dwelling Completion","2018Q1","Scheme house","Meath County Council","Number","238"
"New Dwelling Completion","2018Q1","Scheme house","Monaghan County Council","Number","2"
"New Dwelling Completion","2018Q1","Scheme house","Mayo County Council","Number","20"
"New Dwelling Completion","2018Q1","Scheme house","Offaly County Council","Number","10"
"New Dwelling Completion","2018Q1","Scheme house","Roscommon County Council","Number","8"
"New Dwelling Completion","2018Q1","Scheme house","South Dublin County Council","Number","227"
"New Dwelling Completion","2018Q1","Scheme house","Sligo County Council","Number","15"
"New Dwelling Completion","2018Q1","Scheme house","Tipperary County Council","Number","3"
"New Dwelling Completion","2018Q1","Scheme house","Waterford City & County Council","Number","44"
"New Dwelling Completion","2018Q1","Scheme house","Westmeath County Council","Number","3"
"New Dwelling Completion","2018Q1","Scheme house","Wicklow County Council","Number","112"
"New Dwelling Completion","2018Q1","Scheme house","Wexford County Council","Number","37"
"New Dwelling Completion","2018Q1","Scheme house","Ireland","Number","2009"
"New Dwelling Completion","2018Q1","Apartment","Cork City Council","Number","7"
"New Dwelling Completion","2018Q1","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Cork County Council","Number","20"
"New Dwelling Completion","2018Q1","Apartment","Carlow County Council","Number","3"
"New Dwelling Completion","2018Q1","Apartment","Dublin City Council","Number","166"
"New Dwelling Completion","2018Q1","Apartment","Dún Laoghaire Rathdown County Council","Number","85"
"New Dwelling Completion","2018Q1","Apartment","Donegal County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Fingal County Council","Number","107"
"New Dwelling Completion","2018Q1","Apartment","Galway County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Galway City Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Kildare County Council","Number","8"
"New Dwelling Completion","2018Q1","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Kerry County Council","Number","10"
"New Dwelling Completion","2018Q1","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Louth County Council","Number","5"
"New Dwelling Completion","2018Q1","Apartment","Limerick City & County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Leitrim County Council","Number","1"
"New Dwelling Completion","2018Q1","Apartment","Laois County Council","Number","6"
"New Dwelling Completion","2018Q1","Apartment","Meath County Council","Number","2"
"New Dwelling Completion","2018Q1","Apartment","Monaghan County Council","Number","1"
"New Dwelling Completion","2018Q1","Apartment","Mayo County Council","Number","3"
"New Dwelling Completion","2018Q1","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Roscommon County Council","Number","6"
"New Dwelling Completion","2018Q1","Apartment","South Dublin County Council","Number","10"
"New Dwelling Completion","2018Q1","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Tipperary County Council","Number","10"
"New Dwelling Completion","2018Q1","Apartment","Waterford City & County Council","Number","0"
"New Dwelling Completion","2018Q1","Apartment","Westmeath County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Wicklow County Council","Number","4"
"New Dwelling Completion","2018Q1","Apartment","Wexford County Council","Number","5"
"New Dwelling Completion","2018Q1","Apartment","Ireland","Number","475"
"New Dwelling Completion","2018Q1","All house types","Cork City Council","Number","120"
"New Dwelling Completion","2018Q1","All house types","Clare County Council","Number","56"
"New Dwelling Completion","2018Q1","All house types","Cavan County Council","Number","35"
"New Dwelling Completion","2018Q1","All house types","Cork County Council","Number","223"
"New Dwelling Completion","2018Q1","All house types","Carlow County Council","Number","47"
"New Dwelling Completion","2018Q1","All house types","Dublin City Council","Number","329"
"New Dwelling Completion","2018Q1","All house types","Dún Laoghaire Rathdown County Council","Number","212"
"New Dwelling Completion","2018Q1","All house types","Donegal County Council","Number","86"
"New Dwelling Completion","2018Q1","All house types","Fingal County Council","Number","410"
"New Dwelling Completion","2018Q1","All house types","Galway County Council","Number","114"
"New Dwelling Completion","2018Q1","All house types","Galway City Council","Number","31"
"New Dwelling Completion","2018Q1","All house types","Kildare County Council","Number","245"
"New Dwelling Completion","2018Q1","All house types","Kilkenny County Council","Number","29"
"New Dwelling Completion","2018Q1","All house types","Kerry County Council","Number","92"
"New Dwelling Completion","2018Q1","All house types","Longford County Council","Number","14"
"New Dwelling Completion","2018Q1","All house types","Louth County Council","Number","125"
"New Dwelling Completion","2018Q1","All house types","Limerick City & County Council","Number","125"
"New Dwelling Completion","2018Q1","All house types","Leitrim County Council","Number","14"
"New Dwelling Completion","2018Q1","All house types","Laois County Council","Number","39"
"New Dwelling Completion","2018Q1","All house types","Meath County Council","Number","292"
"New Dwelling Completion","2018Q1","All house types","Monaghan County Council","Number","25"
"New Dwelling Completion","2018Q1","All house types","Mayo County Council","Number","70"
"New Dwelling Completion","2018Q1","All house types","Offaly County Council","Number","26"
"New Dwelling Completion","2018Q1","All house types","Roscommon County Council","Number","31"
"New Dwelling Completion","2018Q1","All house types","South Dublin County Council","Number","242"
"New Dwelling Completion","2018Q1","All house types","Sligo County Council","Number","32"
"New Dwelling Completion","2018Q1","All house types","Tipperary County Council","Number","38"
"New Dwelling Completion","2018Q1","All house types","Waterford City & County Council","Number","67"
"New Dwelling Completion","2018Q1","All house types","Westmeath County Council","Number","35"
"New Dwelling Completion","2018Q1","All house types","Wicklow County Council","Number","140"
"New Dwelling Completion","2018Q1","All house types","Wexford County Council","Number","103"
"New Dwelling Completion","2018Q1","All house types","Ireland","Number","3447"
"New Dwelling Completion","2018Q2","Single house","Cork City Council","Number","20"
"New Dwelling Completion","2018Q2","Single house","Clare County Council","Number","36"
"New Dwelling Completion","2018Q2","Single house","Cavan County Council","Number","23"
"New Dwelling Completion","2018Q2","Single house","Cork County Council","Number","154"
"New Dwelling Completion","2018Q2","Single house","Carlow County Council","Number","21"
"New Dwelling Completion","2018Q2","Single house","Dublin City Council","Number","10"
"New Dwelling Completion","2018Q2","Single house","Dún Laoghaire Rathdown County Council","Number","17"
"New Dwelling Completion","2018Q2","Single house","Donegal County Council","Number","75"
"New Dwelling Completion","2018Q2","Single house","Fingal County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Galway County Council","Number","103"
"New Dwelling Completion","2018Q2","Single house","Galway City Council","Number","4"
"New Dwelling Completion","2018Q2","Single house","Kildare County Council","Number","38"
"New Dwelling Completion","2018Q2","Single house","Kilkenny County Council","Number","33"
"New Dwelling Completion","2018Q2","Single house","Kerry County Council","Number","46"
"New Dwelling Completion","2018Q2","Single house","Longford County Council","Number","12"
"New Dwelling Completion","2018Q2","Single house","Louth County Council","Number","30"
"New Dwelling Completion","2018Q2","Single house","Limerick City & County Council","Number","55"
"New Dwelling Completion","2018Q2","Single house","Leitrim County Council","Number","12"
"New Dwelling Completion","2018Q2","Single house","Laois County Council","Number","28"
"New Dwelling Completion","2018Q2","Single house","Meath County Council","Number","62"
"New Dwelling Completion","2018Q2","Single house","Monaghan County Council","Number","29"
"New Dwelling Completion","2018Q2","Single house","Mayo County Council","Number","57"
"New Dwelling Completion","2018Q2","Single house","Offaly County Council","Number","20"
