"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q1","Apartment","Kildare County Council","Number","72"
"New Dwelling Completion","2011Q1","Apartment","Kilkenny County Council","Number","3"
"New Dwelling Completion","2011Q1","Apartment","Kerry County Council","Number","3"
"New Dwelling Completion","2011Q1","Apartment","Longford County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Louth County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Limerick City & County Council","Number","4"
"New Dwelling Completion","2011Q1","Apartment","Leitrim County Council","Number","22"
"New Dwelling Completion","2011Q1","Apartment","Laois County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Meath County Council","Number","3"
"New Dwelling Completion","2011Q1","Apartment","Monaghan County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Mayo County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Roscommon County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","South Dublin County Council","Number","11"
"New Dwelling Completion","2011Q1","Apartment","Sligo County Council","Number","7"
"New Dwelling Completion","2011Q1","Apartment","Tipperary County Council","Number","11"
"New Dwelling Completion","2011Q1","Apartment","Waterford City & County Council","Number","1"
"New Dwelling Completion","2011Q1","Apartment","Westmeath County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Wicklow County Council","Number","27"
"New Dwelling Completion","2011Q1","Apartment","Wexford County Council","Number","0"
"New Dwelling Completion","2011Q1","Apartment","Ireland","Number","272"
"New Dwelling Completion","2011Q1","All house types","Cork City Council","Number","39"
"New Dwelling Completion","2011Q1","All house types","Clare County Council","Number","52"
"New Dwelling Completion","2011Q1","All house types","Cavan County Council","Number","61"
"New Dwelling Completion","2011Q1","All house types","Cork County Council","Number","168"
"New Dwelling Completion","2011Q1","All house types","Carlow County Council","Number","17"
"New Dwelling Completion","2011Q1","All house types","Dublin City Council","Number","72"
"New Dwelling Completion","2011Q1","All house types","Dún Laoghaire Rathdown County Council","Number","30"
"New Dwelling Completion","2011Q1","All house types","Donegal County Council","Number","118"
"New Dwelling Completion","2011Q1","All house types","Fingal County Council","Number","144"
"New Dwelling Completion","2011Q1","All house types","Galway County Council","Number","93"
"New Dwelling Completion","2011Q1","All house types","Galway City Council","Number","15"
"New Dwelling Completion","2011Q1","All house types","Kildare County Council","Number","126"
"New Dwelling Completion","2011Q1","All house types","Kilkenny County Council","Number","40"
"New Dwelling Completion","2011Q1","All house types","Kerry County Council","Number","62"
"New Dwelling Completion","2011Q1","All house types","Longford County Council","Number","11"
"New Dwelling Completion","2011Q1","All house types","Louth County Council","Number","48"
"New Dwelling Completion","2011Q1","All house types","Limerick City & County Council","Number","54"
"New Dwelling Completion","2011Q1","All house types","Leitrim County Council","Number","42"
"New Dwelling Completion","2011Q1","All house types","Laois County Council","Number","34"
"New Dwelling Completion","2011Q1","All house types","Meath County Council","Number","70"
"New Dwelling Completion","2011Q1","All house types","Monaghan County Council","Number","26"
"New Dwelling Completion","2011Q1","All house types","Mayo County Council","Number","67"
"New Dwelling Completion","2011Q1","All house types","Offaly County Council","Number","28"
"New Dwelling Completion","2011Q1","All house types","Roscommon County Council","Number","26"
"New Dwelling Completion","2011Q1","All house types","South Dublin County Council","Number","41"
